rowid,address,specificusetype,landvalue,sqftmain,lat,lon,landval/sqft
20216171022034,11601 LONG BEACH BLVD  LYNWOOD CA  90262,2600,153290,9534,33.923021890000001,-118.21015803,16.0782462765
""
20216005014013,250 W 59TH PL  LOS ANGELES CA  90003,1210,15823,5390,33.98588874,-118.27792119,2.93562152134
20216006001019,5944 S MAIN ST  LOS ANGELES CA  90003,1210,869600,4716,33.986214029999999,-118.27358963,184.393553859
20216013009001,6628 S VERMONT AVE  LOS ANGELES CA  90044,1210,707252,5276,33.97841287,-118.29119983,134.050796058
20215001027001,5250 S HOOVER ST  LOS ANGELES CA  90037,1210,618874,4733,33.994751899999997,-118.28686089999999,130.757236425
20216004031005,5932 S HOOVER ST  LOS ANGELES CA  90044,1210,571422,4481,33.986312959999999,-118.28669673,127.521089043
20216005020005,6219 S MAIN ST  LOS ANGELES CA  90003,1210,486060,3960,33.982705019999997,-118.27428673,122.742424242
""
20215072008002,1308 12TH AVE  LOS ANGELES CA  90019,1210,35940,12208,34.047160740000002,-118.32445011,2.94397116645
20215073028005,2360 W WASHINGTON BLVD  LOS ANGELES CA  90018,1210,2164191,11260,34.039583090000001,-118.31388715,192.201687389
20215073013001,1850 S MANHATTAN PL  LOS ANGELES CA  90019,1210,1262950,11628,34.040270049999997,-118.3099045,108.612831097
20215072026001,3600 W PICO BLVD  LOS ANGELES CA  90019,1210,329389,11076,34.046952269999998,-118.32029568,29.7389851932
20215060018002,3700 W WASHINGTON BLVD  LOS ANGELES CA  90018,1210,225168,12000,34.039617139999997,-118.32510203,18.764
20215074003014,1400 S WESTERN AVE  LOS ANGELES CA  90006,1210,139200,12032,34.046079679999998,-118.30885542,11.5691489362
""
20213023098003,38050 47TH ST EAST  PALMDALE CA  93552,1100,29807,10000,34.573975150000003,-118.04309393,2.9807
20213023098004,38024 E 47TH ST  PALMDALE CA  93552,1100,29807,9812,34.573435199999999,-118.0431013,3.03781084386
""
20215115018033,1068 E 42ND PL  LOS ANGELES CA  90011,1210,59176,19790,34.006496650000003,-118.25683898,2.99019706923
20215131026029,1011 E ADAMS BLVD  LOS ANGELES CA  90011,1210,3771305,19074,34.019395099999997,-118.25553097,197.719670756
20215122007012,3323 S MAIN ST  LOS ANGELES CA  90007,1210,69635,18852,34.019007969999997,-118.27282503000001,3.69377254403
""
20213023098004,38024 E 47TH ST  PALMDALE CA  93552,1100,29807,9812,34.573435199999999,-118.0431013,3.03781084386
20213023098003,38050 47TH ST EAST  PALMDALE CA  93552,1100,29807,10000,34.573975150000003,-118.04309393,2.9807
""
20216010003006,6534 S CENTRAL AVE  LOS ANGELES CA  90001,2600,11973,3906,33.980133870000003,-118.25611572,3.06528417819
20216006011012,110 E 62ND ST  LOS ANGELES CA  90003,2600,300471,3296,33.983186850000003,-118.27359623,91.1623179612
20216023004025,922 E FLORENCE AVE  LOS ANGELES CA  90001,2600,448135,5035,33.974501619999998,-118.25759506,89.0039721946
20216006024019,6126 S SAN PEDRO ST  LOS ANGELES CA  90003,2600,216723,2520,33.983506990000002,-118.2692601,86.0011904762
20216024019017,1332 E FLORENCE AVE  LOS ANGELES CA  90001,2600,260390,3102,33.97449099,-118.25067846,83.942617666
20216008011015,6016 S CENTRAL AVE  LOS ANGELES CA  90001,2600,308159,3928,33.984592480000003,-118.25607202,78.4518839104
""
20213278025006,22847 W AVENUE D  LANCASTER CA  93536,1210,14719,4800,34.775099490000002,-118.536323,3.06645833333
20213278025007,22847 W AVENUE D  LANCASTER CA  93536,1210,33631,4800,34.77503892,-118.53529558,7.00645833333
""
20212228022014,7140 WHITE OAK AVE  LOS ANGELES CA  91406,2600,12556,4032,34.200492439999998,-118.5182083,3.11408730159
20212125014020,18412 VANOWEN ST  LOS ANGELES CA  91335,2600,887704,3472,34.193351829999997,-118.53401223,255.675115207
20212119005020,18101 SATICOY ST  LOS ANGELES CA  91335,2600,984191,3875,34.208690779999998,-118.52769297,253.984774194
20212125006023,7056 RESEDA BLVD  LOS ANGELES CA  91335,2600,857761,3500,34.199150709999998,-118.53565901,245.074571429
20212125014019,18418 VANOWEN ST  LOS ANGELES CA  91335,2600,891180,4287,34.193351640000003,-118.53417756,207.879636109
20212226025021,7580 BALBOA BLVD  LOS ANGELES CA  91406,2600,671154,4010,34.208141099999999,-118.50076866000001,167.370074813
""
20212619025006,13477 VAN NUYS BLVD  LOS ANGELES CA  91331,1100,18473,5920,34.262919019999998,-118.42709401,3.12043918919
20212533018004,11203 GLENOAKS BLVD  LOS ANGELES CA  91331,1100,2379389,6945,34.27373558,-118.41226493000001,342.604607631
20212646016024,10059 LAUREL CANYON BLVD  LOS ANGELES CA  91331,1100,1042179,5141,34.252834040000003,-118.42632829,202.719120794
20212619001029,11103 SAN FERNANDO RD  LOS ANGELES CA  91331,1100,1059148,5824,34.271290059999998,-118.42826427999999,181.859203297
20212619017030,13277 VAN NUYS BLVD  LOS ANGELES CA  91331,1100,554879,4650,34.265977749999998,-118.42294926,119.328817204
20212534026020,12961 VAN NUYS BLVD  LOS ANGELES CA  91331,1100,416074,5850,34.271190850000004,-118.41575267,71.1237606838
""
20215113003009,4077 AVALON BLVD  LOS ANGELES CA  90011,1100,13791,4340,34.009359850000003,-118.26557129,3.17764976959
20215122037014,3755 BROADWAY PL  LOS ANGELES CA  90007,1100,1788337,3600,34.014395999999998,-118.27583213,496.760277778
20215113003024,4061 AVALON BLVD  LOS ANGELES CA  90011,1100,2222792,5796,34.009920180000002,-118.26565546,383.504485852
20215131015019,2201 S CENTRAL AVE  LOS ANGELES CA  90011,1100,883054,3044,34.021933310000001,-118.25319766,290.096583443
20215121007036,3814 AVALON BLVD  LOS ANGELES CA  90011,1100,630464,3120,34.011544540000003,-118.26490096000001,202.071794872
20215108012030,5026 AVALON BLVD  LOS ANGELES CA  90011,1100,670126,3328,33.996806220000003,-118.26481871,201.359975962
""
20218333019010,1190 S GAREY AVE  POMONA CA  91766,1100,54329,17074,34.049023699999999,-117.74931982,3.1819725899
20218337017033,611 E HOLT AVE  POMONA CA  91767,1100,2573284,16723,34.06311221,-117.73729955,153.876935956
20218335009015,197 E 2ND ST  POMONA CA  91766,1100,95527,17300,34.058122859999997,-117.74923979,5.52179190751
20218341004054,200 W 2ND ST  POMONA CA  91766,1100,70398,16482,34.057538370000003,-117.75153739,4.27120495086
""
20213121003017,"1019 W LANCASTER BLVD, 20  LANCASTER CA  93534",1700,25788,8000,34.697156049999997,-118.14904169,3.2235
20213123003097,1216 W AVENUE J  LANCASTER CA  93534,1700,500000,7968,34.688347110000002,-118.1531525,62.7510040161
20213123003096,1202 W AVENUE J  LANCASTER CA  93534,1700,505000,8091,34.689052500000003,-118.15267420000001,62.4150290446
20213133016037,963 W AVENUE J  LANCASTER CA  93534,1700,288558,8245,34.689854339999997,-118.1476131,34.9979381443
20213133026044,767 W LANCASTER BLVD  LANCASTER CA  93534,1700,216202,7433,34.697941710000002,-118.1443541,29.0867751917
